ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,Owner Occupied,2014,2014,74787460,343068,United States,01000US,united-states,0.64354838
0,Owner Occupied,2014,2014,570946,3810,"Charlotte-Concord-Gastonia, NC-SC",31000US16740,charlotte-concord-gastonia-nc-sc,0.665495625
0,Owner Occupied,2014,2014,53135,813,"Gaston County, NC",05000US37071,gaston-county-nc,0.670820235
0,Owner Occupied,2014,2014,2461741,13326,North Carolina,04000US37,north-carolina,0.657777366
0,Owner Occupied,2013,2013,218240,1886,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0.595163749
0,Owner Occupied,2013,2013,44075,855,"Iredell County, NC",05000US37097,iredell-county-nc,0.741154907
0,Owner Occupied,2013,2013,2466388,12778,North Carolina,04000US37,north-carolina,0.663798911
0,Owner Occupied,2013,2013,21723,533,"Lancaster County, SC",05000US45057,lancaster-county-sc,0.750207211
0,Owner Occupied,2013,2013,61937,999,"York County, SC",05000US45091,york-county-sc,0.716175433
0,Owner Occupied,2013,2013,23112,452,"Lincoln County, NC",05000US37109,lincoln-county-nc,0.770554111
0,Owner Occupied,2013,2013,75075700,345645,United States,01000US,united-states,0.649386383
0,Owner Occupied,2013,2013,55974,714,"Union County, NC",05000US37179,union-county-nc,0.820600783
0,Owner Occupied,2013,2013,570793,4442,"Charlotte-Concord-Gastonia, NC-SC",31000US16740,charlotte-concord-gastonia-nc-sc,0.672603673
0,Owner Occupied,2013,2013,47286,912,"Cabarrus County, NC",05000US37025,cabarrus-county-nc,0.730703259
0,Owner Occupied,2013,2013,53108,900,"Gaston County, NC",05000US37071,gaston-county-nc,0.668445563
