ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,share
22,"$750,000 to $999,999",2017,2017,6802,1137,"Mecklenburg County, NC",0.02926611
23,"$1,000,000 to $1,499,999",2017,2017,1408667,16357,United States,0.01836976
19,"$300,000 to $399,999",2017,2017,30689,2415,"Mecklenburg County, NC",0.132041701
13,"$100,000 to $124,999",2017,2017,17219,2048,"Mecklenburg County, NC",0.074086026
24,"$1,500,000 to $1,999,999",2017,2017,505125,10127,United States,0.006587096
12,"$90,000 to $99,999",2017,2017,1944367,22779,United States,0.02535557
6,"$35,000 to $39,999",2017,2017,447506,11066,United States,0.005835714
25,"$2,000,000 or More",2017,2017,680989,12730,United States,0.008880455
3,"$20,000 to $24,999",2017,2017,537939,9802,United States,0.007015008
0,"Less Than $10,000",2017,2017,1000376,16112,United States,0.01304543
12,"$90,000 to $99,999",2017,2017,5971,1132,"Mecklenburg County, NC",0.025690671
0,"Less Than $10,000",2017,2017,1080,424,"Mecklenburg County, NC",0.00464678
13,"$100,000 to $124,999",2017,2017,5247464,38317,United States,0.068429695
24,"$1,500,000 to $1,999,999",2017,2017,1675,539,"Mecklenburg County, NC",0.007206812
1,"$10,000 to $14,999",2017,2017,944,534,"Mecklenburg County, NC",0.00406163
18,"$250,000 to $299,999",2017,2017,24157,2041,"Mecklenburg County, NC",0.103937286
11,"$80,000 to $89,999",2017,2017,3870,1014,"Mecklenburg County, NC",0.016650962
2,"$15,000 to $19,999",2017,2017,395,257,"Mecklenburg County, NC",0.001699517
14,"$125,000 to $149,999",2017,2017,4961614,39059,United States,0.064702061
7,"$40,000 to $49,999",2017,2017,1167440,17521,United States,0.015224033
3,"$20,000 to $24,999",2017,2017,439,259,"Mecklenburg County, NC",0.00188883
23,"$1,000,000 to $1,499,999",2017,2017,4259,998,"Mecklenburg County, NC",0.018324664
10,"$70,000 to $79,999",2017,2017,3048,776,"Mecklenburg County, NC",0.013114246
4,"$25,000 to $29,999",2017,2017,175,231,"Mecklenburg County, NC",0.00075295
15,"$150,000 to $174,999",2017,2017,6230138,45018,United States,0.081244282
21,"$500,000 to $749,999",2017,2017,19205,1903,"Mecklenburg County, NC",0.082630938
5,"$30,000 to $34,999",2017,2017,478,344,"Mecklenburg County, NC",0.00205663
17,"$200,000 to $249,999",2017,2017,28279,2325,"Mecklenburg County, NC",0.121672497
9,"$60,000 to $69,999",2017,2017,2213,745,"Mecklenburg County, NC",0.009521597
6,"$35,000 to $39,999",2017,2017,472,346,"Mecklenburg County, NC",0.002030815
16,"$175,000 to $199,999",2017,2017,4565691,32837,United States,0.059539016
8,"$50,000 to $59,999",2017,2017,1398870,16934,United States,0.018242002
7,"$40,000 to $49,999",2017,2017,961,497,"Mecklenburg County, NC",0.004134774
4,"$25,000 to $29,999",2017,2017,495363,10768,United States,0.006459795
8,"$50,000 to $59,999",2017,2017,1130,469,"Mecklenburg County, NC",0.004861909
17,"$200,000 to $249,999",2016,2016,27168,2170,"Mecklenburg County, NC",0.121909959
8,"$50,000 to $59,999",2016,2016,1352,426,"Mecklenburg County, NC",0.006066779
9,"$60,000 to $69,999",2016,2016,2988,869,"Mecklenburg County, NC",0.013407942
6,"$35,000 to $39,999",2016,2016,66,110,"Mecklenburg County, NC",0.000296159
5,"$30,000 to $34,999",2016,2016,118,113,"Mecklenburg County, NC",0.000529497
10,"$70,000 to $79,999",2016,2016,3534,863,"Mecklenburg County, NC",0.015857987
4,"$25,000 to $29,999",2016,2016,209,112,"Mecklenburg County, NC",0.000937838
3,"$20,000 to $24,999",2016,2016,616,425,"Mecklenburg County, NC",0.002764154
11,"$80,000 to $89,999",2016,2016,4357,795,"Mecklenburg County, NC",0.019551004
2,"$15,000 to $19,999",2016,2016,765,423,"Mecklenburg County, NC",0.003432756
1,"$10,000 to $14,999",2016,2016,648,303,"Mecklenburg County, NC",0.002907746
12,"$90,000 to $99,999",2016,2016,6035,962,"Mecklenburg County, NC",0.027080632
0,"Less Than $10,000",2016,2016,847,336,"Mecklenburg County, NC",0.003800712
25,"$2,000,000 or More",2016,2016,632437,11335,United States,0.008429957
13,"$100,000 to $124,999",2016,2016,17007,1554,"Mecklenburg County, NC",0.07631488
24,"$1,500,000 to $1,999,999",2016,2016,447209,8179,United States,0.005960993
23,"$1,000,000 to $1,499,999",2016,2016,1211844,14409,United States,0.016153059
14,"$125,000 to $149,999",2016,2016,22147,2002,"Mecklenburg County, NC",0.099379412
22,"$750,000 to $999,999",2016,2016,2237096,20327,United States,0.029818974
21,"$500,000 to $749,999",2016,2016,5651174,32370,United States,0.075326319
15,"$150,000 to $174,999",2016,2016,22212,1921,"Mecklenburg County, NC",0.099671084
20,"$400,000 to $499,999",2016,2016,4952822,32720,United States,0.066017761
19,"$300,000 to $399,999",2016,2016,8734811,47849,United States,0.116429111
16,"$175,000 to $199,999",2016,2016,15890,1898,"Mecklenburg County, NC",0.071302608
