YTD ,New Listings,Pending Sales,Closed Sales,Median Sales Price,Average Sales Price,Percent of Orginal List Price,List to close,Days on Market until Sale
2019,20473,16924,15839,270000,340669,97.2,86,37
2020,19172,17603,15885,295900,369055,98.2,87,33
