ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,6376,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,50752,0.048113686
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,301,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,786,0.00074514
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,2754,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,7009,0.006644641
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,2280,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,5019,0.00475809
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,2652,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,327612,0.310581276
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,203,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,0,0
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,976,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3049,0.002948543
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,1572,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,56868,0.054994343
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,2073,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3348,0.003237692
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,1376,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3436,0.003322792
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,3804,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,316773,0.306336128
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,5727,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,36219,0.035025675
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,76,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,46,4.44844E-05
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,120,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,73,7.05948E-05
0,White Alone,1,Hispanic or Latino,2015,2015,5627,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,88442,0.085528059
