ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,Foreign Born,4,35 to 44 Years,2017,2017,41849,2053,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.038862892
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",24,62 to 64 Years,6051,2017,24351,3184,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.02261345
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",12,35 to 44 Years,6051,2017,117333,7980,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.108960781
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,60 & 61 Years,6051,2017,20283,3562,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.01883572
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,65 to 74 Years,6051,2017,63734,4472,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.059186302
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6051,2017,69501,3719,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.064541802
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6051,2017,57058,5616,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.052986664
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6051,2017,83227,7088,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.077288392
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",30,75 Years & Over,6051,2017,39643,3668,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.0368143
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",15,45 to 54 Years,6051,2017,117572,7378,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.109182727
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",9,25 to 34 Years,6051,2017,143540,10698,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.133297797
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",3,5 to 17 Years,6051,2017,172457,8600,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.160151444
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",18,55 to 59 Years,6048,2016,50152,4826,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.047544877
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6048,2016,19186,2774,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.018188627
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,45 to 54 Years,6048,2016,118131,8026,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.111990027
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",0,Under 5 Years,6048,2016,70752,4082,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.067073997
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,62 to 64 Years,6048,2016,27500,4067,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.026070428
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",3,5 to 17 Years,6048,2016,171773,9952,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.162843478
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",27,65 to 74 Years,6048,2016,61472,4104,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.058276413
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",12,35 to 44 Years,6048,2016,116748,6730,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.110678921
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",30,75 Years & Over,6048,2016,38527,3211,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.036524196
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",9,25 to 34 Years,6048,2016,138838,9321,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.131620585
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,18 to 24 Years,6048,2016,81452,7339,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.077217764
3,Foreign Born,10,75 Years & Over,2016,2016,4441,765,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.004210137
3,Foreign Born,9,65 to 74 Years,2016,2016,7002,872,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.006638005
3,Foreign Born,8,62 to 64 Years,2016,2016,3625,988,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003436556
3,Foreign Born,7,60 & 61 Years,2016,2016,4844,1376,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.004592187
3,Foreign Born,6,55 to 59 Years,2016,2016,9109,1258,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.008635474
3,Foreign Born,5,45 to 54 Years,2016,2016,26701,1791,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.025312964
3,Foreign Born,4,35 to 44 Years,2016,2016,40228,2432,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.03813677
3,Foreign Born,3,25 to 34 Years,2016,2016,37681,2826,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.035722175
3,Foreign Born,2,18 to 24 Years,2016,2016,14147,2207,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.013411576
3,Foreign Born,1,5 to 17 Years,2016,2016,11376,2188,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.010784625
3,Foreign Born,0,Under 5 Years,2016,2016,1150,640,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.001090218
